n,compareCount,time
1000000,20223119,101
2000000,42447213,210
3000000,63551598,329
4000000,88897013,446
5000000,108208734,554
6000000,133101884,881
7000000,158961154,1023
8000000,185781794,1082
9000000,201258557,1290
10000000,226419154,1419
11000000,252067919,1408
12000000,278208779,1660
13000000,304823668,1647
14000000,331927504,1785
15000000,359505291,2675
16000000,387574339,4021
17000000,411015876,3413
18000000,420510267,2768
19000000,446454389,2759
20000000,472840273,2750
21000000,499251338,2805
22000000,526133325,2960
23000000,553044452,3066
24000000,580410849,3322
25000000,607813163,3266
26000000,635655020,3483
27000000,663568957,3610
28000000,691855011,3775
29000000,720280506,3981
30000000,749024160,4153
31000000,777956262,4413
32000000,807153782,4424
33000000,836589377,4749
34000000,856038333,4755
35000000,863072944,6752
36000000,877014325,5412
37000000,903902743,5336
38000000,930906319,5292
39000000,958283757,5475
40000000,985669622,5781
41000000,1013068044,6135
42000000,1040497661,6008
43000000,1068376037,5957
44000000,1096272591,6709
45000000,1124184335,6505
46000000,1152084688,8071
47000000,1180419762,7002
48000000,1208825141,7284
49000000,1237235525,7722
50000000,1265648861,8198
